time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
0,186.793,-745.411,-8.23326,0,0,-36.4651,34.0773,0,0,0,3.4006
0.01,187.067,-745.614,-8.23326,0,-0.00206677,-36.4651,34.0968,0,-0.412209,0,3.37129
0.02,187.341,-745.817,-8.23323,0,-0.00817144,-36.4651,34.116,0,-0.807626,0,3.34244
0.03,187.616,-746.02,-8.23315,0,-0.0181474,-36.4651,34.1348,0,-1.18652,0,3.31403
0.04,187.89,-746.222,-8.233,0,-0.0318308,-36.4651,34.1535,0,-1.54916,0,3.28605
0.05,188.165,-746.426,-8.23277,0,-0.0490605,-36.4651,34.1718,0,-1.89582,0,3.25847
0.06,188.44,-746.629,-8.23241,0,-0.0696782,-36.4651,34.1899,0,-2.2268,0,3.23129
0.07,188.715,-746.832,-8.23193,0,-0.0935284,-36.4651,34.2077,0,-2.54236,0,3.2045
0.08,188.99,-747.035,-8.23129,0,-0.120458,-36.4651,34.2254,0,-2.8428,0,3.17809
0.09,189.265,-747.239,-8.23048,0,-0.150318,-36.4651,34.2427,0,-3.12841,0,3.15203
0.1,189.541,-747.442,-8.22949,0,-0.182962,-36.4651,34.2599,0,-3.39948,0,3.12633
0.11,189.816,-747.646,-8.22829,0,-0.218244,-36.4651,34.2768,0,-3.6563,0,3.10098
0.12,190.092,-747.85,-8.22687,0,-0.256025,-36.4651,34.2936,0,-3.89917,0,3.07597
0.13,190.368,-748.054,-8.22522,0,-0.296166,-36.4651,34.3101,0,-4.1284,0,3.05128
0.14,190.644,-748.258,-8.22332,0,-0.338532,-36.4651,34.3265,0,-4.34426,0,3.02691
0.15,190.92,-748.462,-8.22116,0,-0.382992,-36.4651,34.3427,0,-4.54708,0,3.00286
0.16,191.196,-748.666,-8.21872,0,-0.429415,-36.4651,34.3587,0,-4.73714,0,2.97912
0.17,191.473,-748.87,-8.21601,0,-0.477677,-36.4651,34.3745,0,-4.91474,0,2.95568
0.18,191.749,-749.074,-8.21299,0,-0.527654,-36.4651,34.3902,0,-5.08019,0,2.93254
0.19,192.026,-749.279,-8.20967,0,-0.579226,-36.4651,34.4057,0,-5.23378,0,2.90969
0.2,192.303,-749.483,-8.20603,0,-0.632276,-36.4651,34.4211,0,-5.37582,0,2.88712
0.21,192.58,-749.688,-8.20207,0,-0.68669,-36.4651,34.4363,0,-5.5066,0,2.86483
0.22,192.856,-749.893,-8.19777,0,-0.742357,-36.4651,34.4514,0,-5.62642,0,2.84281
