time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
0,775.116,977.046,5.72633,0,0,-50.1848,24.3025,0,0,0,2.5
0.01,775.272,976.859,5.72633,0,0.00201554,-50.1848,24.3201,0,0.401992,0,2.47512
0.02,775.427,976.672,5.72631,0,0.00796859,-50.1848,24.3374,0,0.787547,0,2.4505
0.03,775.583,976.485,5.72625,0,0.0176961,-50.1848,24.3544,0,1.15693,0,2.42611
0.04,775.739,976.298,5.72615,0,0.0310377,-50.1848,24.3711,0,1.51041,0,2.40197
0.05,775.895,976.111,5.72599,0,0.0478358,-50.1848,24.3876,0,1.84826,0,2.37807
0.06,776.052,975.924,5.72574,0,0.0679354,-50.1848,24.4038,0,2.17076,0,2.35441
0.07,776.208,975.736,5.7254,0,0.0911844,-50.1848,24.4197,0,2.47819,0,2.33098
0.08,776.364,975.548,5.72496,0,0.117434,-50.1848,24.4354,0,2.77084,0,2.30779
0.09,776.521,975.361,5.7244,0,0.146537,-50.1848,24.4507,0,3.04898,0,2.28483
0.1,776.677,975.173,5.7237,0,0.17835,-50.1848,24.4658,0,3.31292,0,2.26219
0.11,776.834,974.985,5.72287,0,0.212733,-50.1848,24.4805,0,3.56294,0,2.24001
0.12,776.991,974.797,5.72188,0,0.249547,-50.1848,24.495,0,3.79933,0,2.21827
0.13,777.148,974.609,5.72073,0,0.288659,-50.1848,24.5092,0,4.02238,0,2.19699
0.14,777.305,974.42,5.71941,0,0.329936,-50.1848,24.5231,0,4.2324,0,2.17616
0.15,777.462,974.232,5.7179,0,0.373249,-50.1848,24.5367,0,4.42967,0,2.15579
0.16,777.619,974.043,5.71621,0,0.418472,-50.1848,24.55,0,4.6145,0,2.13587
0.17,777.776,973.855,5.71432,0,0.465483,-50.1848,24.5631,0,4.78718,0,2.11641
0.18,777.934,973.666,5.71222,0,0.514161,-50.1848,24.5758,0,4.948,0,2.0974
0.19,778.091,973.477,5.7099,0,0.56439,-50.1848,24.5883,0,5.09726,0,2.07885
0.2,778.248,973.288,5.70737,0,0.616054,-50.1848,24.6005,0,5.23526,0,2.06075
0.21,778.406,973.099,5.70461,0,0.669044,-50.1848,24.6124,0,5.36229,0,2.04311
0.22,778.564,972.91,5.70162,0,0.72325,-50.1848,24.6241,0,5.47864,0,2.02591
0.23,778.721,972.721,5.69839,0,0.778568,-50.1848,24.6355,0,5.5846,0,2.00917
