time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
0,-3884.24,1540.75,-11.4805,0,0,119.251,26.628,0,0,0,2
0.01,-3884.37,1540.98,-11.4805,-0.00695352,-0.00369536,119.249,26.6337,-1.38609,-0.737005,-0.310555,1.9801
0.02,-3884.5,1541.21,-11.4805,-0.0276296,-0.0146125,119.245,26.6392,-2.74474,-1.44419,-0.617252,1.9604
0.03,-3884.63,1541.45,-11.4803,-0.0617547,-0.0324583,119.237,26.6446,-4.07648,-2.12189,-0.92014,1.94089
0.04,-3884.76,1541.68,-11.4801,-0.10906,-0.0569451,119.226,26.6498,-5.38186,-2.77048,-1.21895,1.92158
0.05,-3884.89,1541.91,-11.4798,-0.16928,-0.0877908,119.213,26.6548,-6.66138,-3.39033,-1.51065,1.90246
0.06,-3885.02,1542.15,-11.4793,-0.242155,-0.124719,119.196,26.6597,-7.91557,-3.98183,-1.79552,1.88353
0.07,-3885.15,1542.38,-11.4786,-0.32743,-0.167459,119.177,26.6645,-9.14492,-4.54538,-2.07383,1.86479
0.08,-3885.28,1542.61,-11.4777,-0.424851,-0.215744,119.155,26.6691,-10.3499,-5.0814,-2.34584,1.84623
0.09,-3885.41,1542.84,-11.4766,-0.534173,-0.269315,119.131,26.6737,-11.5311,-5.5903,-2.61177,1.82786
0.1,-3885.54,1543.08,-11.4752,-0.655152,-0.327917,119.104,26.6782,-12.6888,-6.07251,-2.87188,1.80967
0.11,-3885.67,1543.31,-11.4736,-0.78755,-0.391301,119.075,26.6826,-13.8237,-6.52847,-3.12636,1.79167
0.12,-3885.8,1543.54,-11.4716,-0.931134,-0.459222,119.044,26.6869,-14.936,-6.95863,-3.37543,1.77384
0.13,-3885.93,1543.78,-11.4693,-1.08567,-0.531443,119.01,26.6911,-16.0264,-7.36343,-3.61929,1.75619
0.14,-3886.06,1544.01,-11.4666,-1.25094,-0.607729,118.974,26.6953,-17.0951,-7.74333,-3.85811,1.73872
0.15,-3886.19,1544.24,-11.4636,-1.42672,-0.687851,118.936,26.6995,-18.1427,-8.0988,-4.09206,1.72142
0.16,-3886.32,1544.48,-11.4602,-1.61279,-0.771588,118.896,26.7036,-19.1696,-8.4303,-4.32131,1.70429
0.17,-3886.45,1544.71,-11.4564,-1.80894,-0.858721,118.854,26.7077,-20.1761,-8.7383,-4.546,1.68733
0.18,-3886.57,1544.94,-11.4522,-2.01496,-0.949037,118.811,26.7118,-21.1627,-9.02326,-4.76627,1.67054
0.19,-3886.7,1545.18,-11.4476,-2.23065,-1.04233,118.766,26.7158,-22.1297,-9.28568,-4.98226,1.65392
0.2,-3886.83,1545.41,-11.4425,-2.45581,-1.13839,118.719,26.7199,-23.0776,-9.52601,-5.19406,1.63746
0.21,-3886.96,1545.65,-11.4369,-2.69024,-1.23703,118.67,26.7239,-24.0067,-9.74475,-5.4018,1.62117
